"","Lorenz.Ordinate","point2000","var2000","point2011","var2011","delta_k"
"1",1,0.00227974265945498,1.4210726159655e-08,0.000875775335995748,4.55942005057052e-09,10.247623764612
"2",2,0.00854046777637335,9.66144623405327e-08,0.00692039335624899,9.86851811047243e-08,3.6659306051434
"3",3,0.0176481168719899,3.00136080806659e-07,0.016063566778303,3.5009604098556e-07,1.96504166600041
"4",4,0.0290674123528493,6.64887774776721e-07,0.0280575202802691,8.26464614973173e-07,0.826960614283714
"5",5,0.0434878306592189,1.31412716302971e-06,0.0431341561589853,1.6971226807404e-06,0.203812282775798
"6",6,0.0608520016351073,2.3255261847456e-06,0.0611030992398377,2.96700310320281e-06,-0.109146781768462
"7",7,0.0815592520460711,3.83229091451408e-06,0.082027204812875,4.89891207238837e-06,-0.158367104692748
"8",8,0.105860845085011,6.09373118888739e-06,0.106198898729558,7.51438334271655e-06,-0.0916403300151309
"9",9,0.133743332841772,9.04765418960962e-06,0.13357172800389,1.10795666464224e-05,0.0382505444740146
"10",10,0.165692217303289,1.30817718115612e-05,0.164826822634643,1.61468848619359e-05,0.160069941922104
"11",11,0.20156348726256,1.82825331826969e-05,0.200264968154148,2.2106273372878e-05,0.204323271987867
"12",12,0.241850752989824,2.53422853436145e-05,0.240683387989151,3.07443225239893e-05,0.155875220593678
"13",13,0.286762382111322,3.36642918989672e-05,0.286151922360951,4.08684712387072e-05,0.0707104211228193
"14",14,0.337487038276537,4.43117516498423e-05,0.337258321938961,5.36464620199777e-05,0.0231087662500069
"15",15,0.394831659797855,5.77199622953617e-05,0.394915724424167,7.14375591321292e-05,-0.00739696281837377
"16",16,0.459936744212283,7.51440425604848e-05,0.459635012922835,9.08887805575606e-05,0.0234165749318328
"17",17,0.534234828491813,9.54075179920296e-05,0.534477274832123,0.000115011373046451,-0.0167137256531657
"18",18,0.623156650556185,0.000122091682134669,0.622940368449972,0.000147837461331517,0.0131642372868474
"19",19,0.736252982724672,0.00014963413638776,0.735221998540113,0.000182231103385815,0.0565940950985503
